bug	sim-bug	patch	sim-patch	b1	b2	b3	b4	b-BLEU-cum	b-BLEU-ave	b-jaccard	p1	p2	p3	p4	p-BLEU-cum	p-jaccard	p-BLEU-ave
intent = new Intent ( Intent . SENDTO_ACTION , Uri . parse ( emailResult . getEmailAddress ( ) ) ) ;	intent = new Intent ( Intent . SENDTO_ACTION , Uri . parse ( emailResult . getEmailAddress ( ) ) ) ;	"intent = new Intent ( Intent . SENDTO_ACTION , Uri . parse ( ""mailto:"" + emailResult . getEmailAddress ( ) ) ) ;"	"intent = new Intent ( Intent . SENDTO_ACTION , Uri . parse ( ""mailto:"" + emailResult . getEmailAddress ( ) ) ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
@GeneratedValue ( strategy = GenerationType . AUTO )	@GeneratedValue ( strategy = GenerationType . AUTO )	@GeneratedValue ( strategy = GenerationType . IDENTITY )	@GeneratedValue ( strategy = GenerationType . IDENTITY )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( RuntimeException e ) {	} catch ( RuntimeException e ) {	} catch ( Throwable e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( RuntimeException e ) {	} catch ( RuntimeException e ) {	} catch ( Throwable e ) {	} catch ( RuntimeException | SQLException e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6441233940645307	0.5009848620501905	0.3005909172301144	0	0	0.3	0.3614247933362089
} catch ( RuntimeException e ) {	} catch ( RuntimeException e ) {	} catch ( Throwable e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
if ( node ! = null ) {	if ( node ! = null ) {	if ( node ! = null & & cd . superclass ( ) ! = null ) {	if ( node ! = null & & node . getModelReference ( ) ! = null ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8888888888888888	0.7647058823529411	0.6875	0.6	0.7276817202342092	0.5691873915558125	0.7352736928104575
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( IOException | UnsupportedOperationException | UnsatisfiedLinkError e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5454545454545454	0.4	0.2222222222222222	0	0	0.26136363636363635	0.2919191919191919
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( IOException | UnsupportedOperationException | UnsatisfiedLinkError e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5454545454545454	0.4	0.2222222222222222	0	0	0.26136363636363635	0.2919191919191919
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( IOException | UnsupportedOperationException | UnsatisfiedLinkError e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5454545454545454	0.4	0.2222222222222222	0	0	0.26136363636363635	0.2919191919191919
if ( xform = = null )	if ( xform = = null )	if ( xform = = null | | rect = = null )	if ( xform = = null | | rect = = null )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
if ( r ! = null ) {	if ( r ! = null ) {	if ( r ! = null & & r . getDataSet ( ) ! = null ) {	if ( r ! = null & & r . getPixivIdList ( ) ! = null ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9444444444444444	0.8823529411764706	0.8125	0.7333333333333333	0.8394327083733336	0.7109133126934984	0.843157679738562
if ( r ! = null ) {	if ( r ! = null ) {	if ( r ! = null & & r . getDataSet ( ) ! = null ) {	if ( r ! = null & & r . isPublic ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7777777777777778	0.6470588235294118	0.5	0.4666666666666667	0.5853882755435387	0.5486111111111112	0.597875816993464
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( IOException | IllegalArgumentException e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( IOException | IllegalArgumentException e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( IOException | IllegalArgumentException e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
} catch ( IllegalArgumentException e ) {	} catch ( IllegalArgumentException e ) {	} catch ( IllegalArgumentException | StringIndexOutOfBoundsException e ) {	} catch ( RuntimeException e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
} catch ( IllegalArgumentException e ) {	} catch ( IllegalArgumentException e ) {	} catch ( IllegalArgumentException | StringIndexOutOfBoundsException e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
} catch ( IllegalArgumentException e ) {	} catch ( IllegalArgumentException e ) {	} catch ( IllegalArgumentException | StringIndexOutOfBoundsException e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
this ( null ) ;	this ( null ) ;	this ( ( String [ ] ) null ) ;	this ( loadEmptyMarshaller ( ) ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.2222222222222222	0	0	0	0.14957264957264957	0.20555555555555555
this ( null ) ;	this ( null ) ;	this ( ( String [ ] ) null ) ;	this ( Normalizer . Form . NFC ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4	0.2222222222222222	0	0	0	0.11666666666666667	0.15555555555555556
this ( null ) ;	this ( null ) ;	this ( ( String [ ] ) null ) ;	"this ( """" ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4	0.2222222222222222	0	0	0	0.15656565656565657	0.15555555555555556
if ( error ) {	if ( error ) {	"if ( error | | source . url . contains ( ""yopaseopor/traffic_signs"" ) ) {"	if ( ! error ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3333333333333333	0.14285714285714285	0	0	0	0.13357843137254902	0.11904761904761904
synchronized ( this ) {	synchronized ( this ) {	synchronized ( AdvancedKeyPressDetector . this ) {	synchronized ( clz ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5714285714285714	0.3333333333333333	0	0	0	0.1875	0.22619047619047616
synchronized ( this ) {	synchronized ( this ) {	synchronized ( AdvancedKeyPressDetector . this ) {	synchronized ( name . intern ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5367694950537757	0.2504924310250953	0	0	0	0.18055555555555555	0.19681548151971773
synchronized ( this ) {	synchronized ( this ) {	synchronized ( AdvancedKeyPressDetector . this ) {	synchronized ( BlockReceiver . this ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
if ( url ! = null ) {	if ( url ! = null ) {	if ( url ! = null & & imageryBlacklist . size ( ) ! = 0 ) {	if ( url ! = null & & StringUtils . isBlank ( md . getName ( ) ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6462728399214892	0.4737384618429016	0.33556474380538864	0.2982797722714565	0.4183971038082781	0.3369265483971366	0.43846395446030895
if ( url ! = null ) {	if ( url ! = null ) {	if ( url ! = null & & imageryBlacklist . size ( ) ! = 0 ) {	if ( image ! = null ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3888888888888889	0.23529411764705885	0.0625	0	0	0.18953634085213034	0.17167075163398693
if ( value = = null ) {	if ( value = = null ) {	if ( value . length ( ) = = 0 ) {	if ( value = = null | | value . length ( ) = = 0 ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6065306597126334	0.6065306597126334	0.5458775937413701	0.47174606866538155	0.554788268632133	0.6117145721925134	0.5576712454580046
if ( value = = null ) {	if ( value = = null ) {	if ( value . length ( ) = = 0 ) {	if ( ObjectUtils . isBlank ( value ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.2727272727272727	0	0	0	0.1804812834224599	0.23484848484848483
if ( value = = null ) {	if ( value = = null ) {	if ( value . length ( ) = = 0 ) {	if ( value = = null | | value . getValueForConfig ( ) = = null ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5054422164271946	0.38597405618076674	0.18195919791379003	0.06739229552362593	0.22115841693411734	0.2828990707995284	0.2851919415113443
if ( file . exists ( ) ) {	if ( file . exists ( ) ) {	if ( file ! = null & & file . exists ( ) ) {	if ( file ! = null & & file . exists ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
if ( file . exists ( ) ) {	if ( file . exists ( ) ) {	if ( file ! = null & & file . exists ( ) ) {	if ( file . exists ( ) & & ! visited . contains ( file . getPath ( ) ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5434772072366487	0.40312869767553616	0.2894257316644875	0.10451484754550938	0.2853218593110489	0.3379206999896655	0.3351366210305454
if ( file . exists ( ) ) {	if ( file . exists ( ) ) {	if ( file ! = null & & file . exists ( ) ) {	if ( ! file . exists ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.38461538461538464	0.3333333333333333	0.4546697236991713	0.4359848484848485	0.4711538461538461
Thread . sleep ( 2000 ) ;	Thread . sleep ( 2000 ) ;	Thread . sleep ( 3000 ) ;	Thread . sleep ( 10 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
Thread . sleep ( 2000 ) ;	Thread . sleep ( 2000 ) ;	Thread . sleep ( 3000 ) ;	Thread . sleep ( 4000 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
private boolean enabled = true ;	private boolean enabled = true ;	private boolean enabled = false ;	private boolean enabled = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private boolean enabled = true ;	private boolean enabled = true ;	private boolean enabled = false ;	private boolean enabled = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
setRequestedOrientation ( ActivityInfo . SCREEN_ORIENTATION_SENSOR ) ;	setRequestedOrientation ( ActivityInfo . SCREEN_ORIENTATION_SENSOR ) ;	setRequestedOrientation ( ActivityInfo . SCREEN_ORIENTATION_UNSPECIFIED ) ;	setRequestedOrientation ( ActivityInfo . SCREEN_ORIENTATION_USER ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
if ( isConnected ( ) ) {	if ( isConnected ( ) ) {	if ( ! isConnected ( ) ) {	if ( isConnected ( ) & & sessionId ! = null ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5352614285189903	0.305863673439423	0.08921023808649839	0	0	0.23229166666666667	0.23258383501122792
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( NumberFormatException e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( NumberFormatException e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( NumberFormatException e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
Debug . logError ( e , module ) ;	Debug . logError ( e , module ) ;	"Debug . logError ( e , ""Error while saving TrackingCodeVisit"" , module ) ;"	Debug . logVerbose ( e , module ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5714285714285714	0.46153846153846156	0.25	0.0909090909090909	0.27824623288353134	0.3053571428571429	0.3434690309690309
if ( obj = = null ) {	if ( obj = = null ) {	if ( UtilValidate . isEmpty ( obj ) ) {	if ( obj = = null | | obj . getName ( ) = = null ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35946317129377725	0.14977632137240718	0	0	0	0.1607142857142857	0.1273098731665461
if ( obj = = null ) {	if ( obj = = null ) {	if ( UtilValidate . isEmpty ( obj ) ) {	if ( obj . equals ( null ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8	0.4444444444444444	0.12500000000000003	0	0	0.23809523809523808	0.3423611111111111
"Double issuedQuantity = ( Double ) resultService . get ( ""issuedQuantity"" ) ;"	"Double issuedQuantity = ( Double ) resultService . get ( ""issuedQuantity"" ) ;"	"Double issuedQuantity = ( Double ) resultService . get ( ""quantityIssued"" ) ;"	"Double issuedQuantity = ( Double ) resultService . get ( ""quantityIssued"" ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
for ( int i = 0 ; i < 9 ; i + + ) {	for ( int i = 0 ; i < 9 ; i + + ) {	for ( int i = 0 ; i < 8 ; i + + ) {	for ( int i = 0 ; i < MAPPING_HEADER . size ( ) ; i + + ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.730125734129442	0.6749606786618843	0.6119149009846753	0.539169772895588	0.6349991933341887	0.5714285714285714	0.6390427716678975
for ( int i = 0 ; i < 9 ; i + + ) {	for ( int i = 0 ; i < 9 ; i + + ) {	for ( int i = 0 ; i < 8 ; i + + ) {	for ( int i = 0 ; i < = 9 ; i + + ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8806997463876336	0.814157987771679	0.7381102636391595	0.6503628896400986	0.7659552353576201	0.6657868275515335	0.7708327218596427
logger . setLevel ( Level . ALL ) ;	logger . setLevel ( Level . ALL ) ;	logger . setLevel ( Level . INFO ) ;	logger . setLevel ( Level . INFO ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
if ( error ! = null ) {	if ( error ! = null ) {	if ( isDone & & error ! = null ) {	if ( error ! = null & & backend . getVars ( ) ! = null ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.48110303772731844	0.3704493390500352	0.2352059295555779	0.19845500306251884	0.30200860017671066	0.35779914529914525	0.3213033273488626
int count = 0 ;	int count = 0 ;	int count ;	int count = 1 ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.513417119032592	0.256708559516296	0	0	0	0.2	0.192531419637222
if ( length > 0 ) {	if ( length > 0 ) {	if ( end . getNext ( ) = = null ) {	if ( length > 0 L ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3333333333333333	0.18181818181818182	0	0	0	0.10817307692307693	0.12878787878787878
protected String getUserAgentStylesheet ( ) {	protected String getUserAgentStylesheet ( ) {	public String getUserAgentStylesheet ( ) {	public String getUserAgentStylesheet ( ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
if ( f . exists ( ) ) {	if ( f . exists ( ) ) {	if ( f ! = null & & f . exists ( ) ) {	if ( f . isFile ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5333333333333333	0.42857142857142855	0.23076923076923078	0.08333333333333333	0.2574866101628968	0.2775735294117647	0.3190018315018315
private final static boolean DEBUG = true ;	private final static boolean DEBUG = true ;	private final static boolean DEBUG = false ;	private final static boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private final static boolean DEBUG = true ;	private final static boolean DEBUG = true ;	private final static boolean DEBUG = false ;	private final static boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private final static boolean DEBUG = true ;	private final static boolean DEBUG = true ;	private final static boolean DEBUG = false ;	private final static boolean DEBUG = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Thread t = new Thread ( ) ;	Thread t = new Thread ( ) ;	Thread t = new Thread ( r ) ;	Thread t = new Thread ( r ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
throw new UnsupportedOperationException ( ) ;	throw new UnsupportedOperationException ( ) ;	return false ;	"throw new UnsupportedOperationException ( ""Query "" + this + "" does not implement createWeight"" ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0.015625	0.0
throw new UnsupportedOperationException ( ) ;	throw new UnsupportedOperationException ( ) ;	return false ;	return null ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0	0	0	0	0.125	0.16666666666666666
throw new UnsupportedOperationException ( ) ;	throw new UnsupportedOperationException ( ) ;	return false ;	return myNodes . get ( 0 ) . getStartOffset ( ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03319137891190929	0	0	0	0	0.05	0.008297844727977323
if ( length < 0 ) {	if ( length < 0 ) {	if ( length < = 0 ) {	if ( length < = 0 ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"LOG . error ( ""Fooooooooo <{}>"" , clientID ) ;"	"LOG . error ( ""Fooooooooo <{}>"" , clientID ) ;"	"LOG . debug ( ""Session cleanup for client <{}>"" , clientID ) ;"	"LOG . debug ( ""Session cleanup for client <{}>"" , clientID ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
m_db = DBMaker . newFileDB ( tmpFile ) . closeOnJvmShutdown ( ) . make ( ) ;	m_db = DBMaker . newFileDB ( tmpFile ) . closeOnJvmShutdown ( ) . make ( ) ;	m_db = DBMaker . newFileDB ( tmpFile ) . make ( ) ;	m_db = DBMaker . newFileDB ( tmpFile ) . make ( ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"pipeline . addLast ( ""webSocketHandler"" , new WebSocketServerProtocolHandler ( ""/mqtt"" , ""mqttv3.1, mqttv3.1.1"" ) ) ;"	"pipeline . addLast ( ""webSocketHandler"" , new WebSocketServerProtocolHandler ( ""/mqtt"" , ""mqttv3.1, mqttv3.1.1"" ) ) ;"	"pipeline . addLast ( ""webSocketHandler"" , new WebSocketServerProtocolHandler ( ""/mqtt"" , ""mqtt, mqttv3.1, mqttv3.1.1"" ) ) ;"	"pipeline . addLast ( ""webSocketHandler"" , new WebSocketServerProtocolHandler ( ""/mqtt"" , ""mqtt, mqttv3.1, mqttv3.1.1"" ) ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"pipeline . addFirst ( ""bytemetrics"" , new BytesMetricsHandler ( m_bytesMetricsCollector ) ) ; pipeline . addFirst ( ""metrics"" , new BytesMetricsHandler ( m_bytesMetricsCollector ) ) ;"	"pipeline . addFirst ( ""bytemetrics"" , new BytesMetricsHandler ( m_bytesMetricsCollector ) ) ; pipeline . addFirst ( ""metrics"" , new BytesMetricsHandler ( m_bytesMetricsCollector ) ) ;"	"pipeline . addFirst ( ""bytemetrics"" , new BytesMetricsHandler ( m_bytesMetricsCollector ) ) ;"	"pipeline . addFirst ( ""bytemetrics"" , new BytesMetricsHandler ( m_bytesMetricsCollector ) ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"LOG . error ( ""Grave error processing the message {} for {}"" , message , session , th ) ;"	"LOG . error ( ""Grave error processing the message {} for {}"" , message , session , th ) ;"	"LOG . error ( ""Serious error processing the message {} for {}"" , message , session , th ) ;"	"LOG . error ( ""Serious error processing the message {} for {}"" , message , session , th ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ctx . write ( pingResp ) ;	ctx . write ( pingResp ) ;	ctx . writeAndFlush ( pingResp ) ;	ctx . writeAndFlush ( pingResp ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
assertEquals ( 20 , m_mockProtoEncoder . getBuffer ( ) . get ( ) ) ;	assertEquals ( 20 , m_mockProtoEncoder . getBuffer ( ) . get ( ) ) ;	assertEquals ( 16 , m_mockProtoEncoder . getBuffer ( ) . get ( ) ) ;	assertEquals ( 16 , m_mockProtoEncoder . getBuffer ( ) . get ( ) ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
